# Event number   W pT    | Delta eta j1,j2 |     Delta R j1,j2   m j1, j2        N of jets       j1 pT   j2 pT   Centrality      | Delta Phi l1, l2 |    m l1, l2        Empty   | Delta eta l1,l2 |     mET (scalar)    mET phi         dijet min distance      Zeppenfeld Var          Cos |tot phi|   Cos | deltaphi(j1+j2,l1+l2) |   Empty   Weight
17715997852917796541	201.209	1.61588	2.09551	263.077	2	122.107	118.654	-0.0534003	5.45764	112.789	0	0.706277	523.296	4.21002	2.06557	0.498082	-0.814545	-0.991224	0	0.35237
11247641552494056827	245.117	2.03117	2.61589	243.281	2	106.129	69.0148	0.488369	0.809971	32.1046	0	0.314819	376.695	1.22666	1.86452	0.331229	-0.331335	-0.921824	0	0.170997
14876342680230863194	97.8831	1.44423	3.15031	175.507	2	72.9593	66.0836	-2.11802	0.579501	45.0296	0	1.32877	242.254	6.08128	0.869115	2.16367	-0.992851	-0.214586	0	0.0661603
3571152074102778102	93.8814	2.22091	3.69472	128.025	2	38.6447	37.3974	0.295501	1.86123	57.3015	0	1.26892	257.671	2.56665	1.54292	0.0422791	-0.171264	0.752418	0	3.02052
14926297434093263490	604.052	0.127836	1.91252	636.333	5	391.85	380.568	-1.14562	5.83283	156.103	0	0.941182	1691.89	5.99477	1.48494	0.687381	0.841539	-0.623338	0	0.0220879
1072483862653042103	134.767	2.36835	3.8669	306.675	2	134.34	54.5154	0.702723	1.4633	62.9789	0	0.790296	321.397	1.88058	0.910664	0.181432	0.868602	-0.539915	0	0.238381
6702600673639345719	157.294	1.06179	1.28814	57.4162	2	58.8987	31.9529	0.316422	3.83049	85.8894	0	0.195984	226.072	5.68667	1.55063	0.956988	0.608781	-0.998531	0	0.157343
12374387897872629693	179.469	0.589615	2.71545	287.349	2	228.253	87.1934	-1.45611	2.96511	261.272	0	1.18634	612.635	2.57212	0.672832	0.951624	-0.563198	-0.997593	0	0.283275
502418147091123334	169.511	3.27031	3.66031	276.319	3	57.6224	49.8465	1.07369	2.78532	63.7953	0	0.426235	247.758	2.39671	1.78458	1.09897	0.700668	-0.438973	0	0.398765
14081016691009504376	190.807	2.4333	3.87721	354.437	3	104.517	88.7335	0.144018	1.31571	92.702	0	0.606519	510.144	0.0500882	0.904706	0.83205	0.443769	-0.810062	0	0.511896
17240812170655604954	168.257	4.05808	5.00989	571.602	2	124.275	43.9258	-0.683451	2.71587	80.0013	0	1.26016	264.16	4.32215	1.48849	3.74495	-0.150882	-0.861189	0	0.00336806
15613591208346703730	52.4599	1.86146	3.22936	168.392	2	91.2907	37.2226	-0.575614	3.36139	102.768	0	0.270404	386.519	5.06055	0.752048	2.56317	0.364938	-0.951294	0	0.236176
1094015497132667524	287.954	1.19516	3.17248	289.101	3	286.822	52.3222	-0.808997	0.170902	58.4938	0	1.09589	588.998	1.69743	0.404748	0.710055	-0.634273	-0.836637	0	0.00308236
5327839482512307707	53.9732	0.105413	2.88855	188.944	4	108.874	82.4551	-2.11416	2.52774	128.132	0	0.343772	443.104	0.16128	1.90342	3.00471	-0.74844	0.965461	0	0.356865
16105971164767710913	24.6941	0.94651	1.12202	52.8391	2	57.6576	36.3679	-1.44993	0.897605	104.4	0	2.36648	253.262	2.38018	2.24764	0.10294	-0.410714	-0.524522	0	0.00428125
5400290626899943554	108.734	1.75414	2.12662	131.729	2	67.6036	48.2243	-1.38468	2.84746	213.187	0	1.38214	358.224	3.82428	1.65516	3.05611	-0.581869	-0.852213	0	0.0261132
16019730869532639232	206.122	2.77206	3.03593	373.878	3	122.511	73.9983	-0.305809	0.337221	158.296	0	2.19206	401.108	2.96793	2.3519	1.26725	0.185496	-0.992127	0	0.00262084
3045316405634568434	101.461	0.274883	2.25588	112.331	2	77.2958	49.1984	-0.63039	1.17658	61.4518	0	0.743285	273.724	0.895068	0.727577	0.254264	0.98201	-0.925145	0	0.192205
7045428625404913391	61.4179	0.0311119	3.09299	321.156	2	175.268	146.854	-1.10618	3.31908	286.678	0	1.12977	692.905	4.51849	0.670379	0.837443	0.76497	-0.354273	0	5.30309
7646389007960708672	75.3609	2.78069	3.57103	343.314	3	114.683	58.8871	-0.479837	1.3727	124.438	0	1.97248	359.849	3.08063	1.63268	0.625905	-0.414178	-0.99988	0	0.294606
6374332641902859742	83.5293	3.00418	3.1483	456.442	4	117.5	92.3809	1.17131	3.38557	112.62	0	0.435234	592.125	4.48684	1.4048	1.10475	-0.666696	-0.686699	0	3.13018e-05
18116961841855826161	380.021	2.07648	2.47696	344.891	3	128.553	120.315	-0.895416	0.0615953	26.9621	0	0.744757	435.03	0.698554	2.84559	1.53474	0.916166	-0.908914	0	0.378796
5084282395215151795	333.499	0.278665	0.388948	84.6959	2	205.827	139.01	-2.81993	0.494141	278.32	0	1.44371	737.697	5.0971	3.20261	2.19537	-0.79296	-0.999989	0	0.000178125
10108572068834554369	230.57	1.34187	1.44509	117.384	2	114.371	50.3835	-0.00142839	4.52166	103.198	0	1.30059	386.036	0.347098	2.2349	0.749835	0.303632	-0.961775	0	0.00127369
11070721478752355013	106.384	1.79989	2.81453	201.618	2	83.4334	65.259	-3.38418	1.25681	85.0908	0	1.45158	314.112	5.92273	2.82561	3.93096	-0.848938	-0.678822	0	0.034884
18103018137216763008	233.973	4.0816	4.82995	679.468	4	223.013	33.9413	0.961265	0.900788	55.2743	0	0.772394	511.276	3.16961	2.60997	0.914056	0.862787	-0.991804	0	0.042555
12934316566719352804	172.19	0.502682	0.777097	57.5235	3	80.5931	55.7224	-2.95963	0.294204	127.321	0	1.31525	413.589	5.58157	3.41659	2.51033	-0.848242	-0.981435	0	0.227303
15686682846416912589	66.8194	4.31798	5.02894	646.576	2	133.374	40.8338	0.924977	1.46489	121.529	0	1.31769	342.452	6.03425	1.10181	0.0556641	-0.512802	-0.961487	0	0.0821399
386063355140568822	219.678	0.681873	2.4089	359.499	2	227.367	148.123	-0.720284	2.06404	193.518	0	1.60021	655.711	0.941164	1.5054	0.53392	0.745144	-0.981902	0	4.28107
4538812544534558580	98.669	2.07898	3.01412	147.272	2	63.4232	36.6233	-0.622286	1.88941	89.0294	0	1.08511	258.929	3.01249	1.68884	1.35607	-0.423871	-0.655511	0	0.0730997
17809203012903083532	161.871	0.777372	1.20641	75.9368	2	81.9286	48.7137	-0.619223	2.24075	184.912	0	0.26452	406.808	1.82362	1.75869	1.55808	-0.987687	-0.980181	0	3.4701
1689862303073203574	384.273	0.0688121	1.42798	197.984	2	183.097	122.698	-1.34904	0.295247	36.2957	0	0.559246	457.184	3.76146	2.00648	0.955091	0.862645	-0.935655	0	0.347503
13353112212188136138	298.259	0.763992	1.93351	248.491	4	160.835	126.063	-1.46533	0.125552	127.99	0	1.10396	680.938	5.71809	2.23801	1.42529	-0.453939	-0.966923	0	0.184435
2527862694855367457	90.5655	1.07311	2.5545	188.584	2	88.3372	85.6597	-1.72768	1.21779	122.572	0	2.13069	339.644	1.4612	1.50417	0.633607	0.0788464	-0.538937	0	0.254184
10170857568310984050	357.702	2.12829	3.00953	673.738	4	318.692	147.703	0.00314236	0.138	25.8581	0	0.486613	660.977	4.17354	0.985222	0.743483	-0.972316	-0.837246	0	0.0088869
17455969159661749231	165.461	0.489156	1.95722	97.8339	3	61.9088	52.6563	-1.73177	3.01937	108.788	0	2.56936	229.646	1.90178	0.597255	1.405	0.00719508	-0.245431	0	0.422106
3607782228761477760	219.123	0.55745	1.02873	69.9358	2	72.0877	66.1634	-2.2955	0.125385	32.3288	0	0.587853	312.37	1.67469	3.07253	2.24173	-0.0311948	-0.829029	0	0.0259698
15108287036787254152	7.9168	2.0257	3.40652	121.007	2	43.8521	34.7171	-4.33239	0.31824	54.5805	0	1.19006	238.159	5.37867	4.40747	4.77139	0.322845	-0.527912	0	0.000243463
17747050109722925460	109.367	0.742319	2.7424	305.867	2	161.741	133.15	-0.353321	2.69781	146.466	0	0.238059	454.625	2.17526	0.90781	1.8596	0.269229	-0.958075	0	0.925258
1595180189010436088	174.649	1.18644	2.03923	81.3802	2	44.6446	37.9296	-0.205986	3.16615	93.6291	0	0.25816	292.157	2.44873	0.770456	0.228282	-0.844273	0.133305	0	0.759972
3137027413433250484	123.261	0.41803	2.35004	138.733	4	75.7256	70.8957	-3.33955	1.81837	411.869	0	3.22659	463.96	0.704397	0.573013	3.42286	0.967195	-0.606408	0	0.00138554
4031025540623138204	438.277	1.23353	2.482	408.085	2	294.773	116.533	-0.65375	0.630699	24.7168	0	0.143922	506.757	2.07153	1.87525	1.20662	-0.987185	-0.824888	0	0.040594
15053077838151932078	143.989	0.838908	2.92343	666.183	3	341.506	280.482	0.0665287	0.401812	29.0556	0	0.378576	852.673	4.28361	0.757214	0.186829	-0.850979	-0.719098	0	2.09083
