# Event number 	 W pT  	 | Delta eta j1,j2 | 	 Delta R j1,j2 	 m j1, j2 	 N of jets	 j1 pT 	 j2 pT 	 Centrality 	 | Delta Phi l1, l2 | 	 m l1, l2 	 Empty 	 | Delta eta l1,l2 | 	 mET (scalar) 	 mET phi 	 dijet min distance 	 Zeppenfeld Var 	 Cos |tot phi| 	 Cos | deltaphi(j1+j2,l1+l2) | 	 Empty 	 Weight

6861436692862511214	52.7377	5.20834	5.96416	3956.08	4	331.012	255.919	1.64157	0.55413	31.5912	0	0.933871	991.789	1.73713	1.918	0.530105	0.803963	-0.313064	0	5.41668e-10
12727205722069501297	204.435	6.02797	6.39214	2722.07	2	142.939	124.608	2.10378	1.26309	72.6601	0	1.22633	369.165	5.95251	2.82326	0.691468	0.116101	-0.898878	0	3.13658e-05
816110021686403164	112.152	4.65555	5.50423	1873.64	2	198.457	165.074	1.57707	1.63097	58.7545	0	1.08035	585.443	0.612753	2.53438	0.154683	0.229644	0.295838	0	1.70741
5333335653631678533	277.137	6.02504	6.01594	2352.82	3	164.529	81.649	0.90247	2.42842	204.208	0	0.560002	769.837	2.20126	1.71336	2.0594	-0.512693	-0.921086	0	1.81741e-06
15608881813551382324	94.2333	4.22731	4.8973	1756.99	3	213.906	205.374	0.455314	0.51382	32.0898	0	0.501753	762.222	1.56199	2.87442	1.45188	0.387026	-0.209679	0	7.44611
4052877473699326015	246.409	3.78799	3.9837	546.162	2	202.276	33.5709	1.27956	4.09272	150.546	0	1.02173	658.929	5.12267	1.93729	0.307773	-0.91637	-0.978198	0	0.00245283
9377675181523668067	134.478	3.67131	4.72656	1224.71	5	209.002	173.625	0.650948	2.67335	90.7531	0	1.10375	971.38	4.35824	1.12161	1.27835	-0.19199	-0.596001	0	3.43666
17530584324450874696	787.496	2.69558	3.83236	738.359	2	792.274	40.916	0.560908	4.44797	447.675	0	1.42842	1824.47	4.29175	0.792779	0.569822	-0.893801	-0.999523	0	1.6478e-08
14474618866235817730	44.7442	2.58323	3.65726	540.085	5	166.03	116.317	0.552525	3.66666	109.952	0	1.04871	760.351	1.63466	0.806008	1.54263	0.232097	-0.549367	0	-1.17034e-08
12229902932702733452	209.448	2.5538	3.75386	1171.43	2	379.633	243.839	-0.29686	4.30453	118.559	0	0.0324027	854.689	5.85442	0.443419	2.07983	0.569227	-0.998171	0	1.9103
11895674989809848705	188.72	3.39836	4.51212	2120.92	4	393.898	357.474	0.598271	2.2355	244.635	0	1.92047	1217.44	0.902707	1.90327	0.777185	-0.149433	-0.611833	0	0.00172141
17664917335154249067	159.151	5.75375	6.35707	3427.93	5	237.393	155.875	1.65586	3.03201	94.1699	0	1.00351	749.781	1.68839	1.747	1.87268	-0.779165	-0.198783	0	8.12402e-10
13340576533904609790	668.446	3.64237	4.3762	1801.45	5	588.383	138.744	1.4189	1.16021	205.383	0	0.563724	1678.03	1.6151	1.6585	0.298762	-0.976714	-0.967731	0	7.68821e-05
10370245578449289458	254.785	3.21091	4.05231	710.607	2	198.573	94.0508	-2.52695	4.9837	52.3066	0	0.379151	524.216	4.65804	2.2347	4.20654	-0.346657	-0.698699	0	6.33074e-06
11978050648529447081	558.477	4.60902	5.11471	1566.09	2	329.888	73.0552	1.68031	0.860509	98.8753	0	1.02138	967.278	1.6434	2.46851	0.0392117	-0.998609	-0.999981	0	3.63132e-07
15305569240506115375	204.237	3.22287	4.26981	929.299	3	252.668	126.119	0.453399	2.45877	96.9845	0	0.706498	770.201	3.49078	1.18728	0.597158	0.944806	-0.933048	0	1.41105
5696304944736710267	374.69	5.92561	6.22193	2594.68	2	272.713	65.7874	2.49243	1.13888	89.8755	0	0.165504	584.564	1.76215	3.33203	0.400363	-0.97517	-0.988634	0	2.72166
9809918659307217833	182.433	4.15593	4.75351	994.019	3	213.59	70.9131	-0.470801	2.81674	210.851	0	2.23648	632.774	1.21153	0.493393	1.57762	-0.94428	-0.963433	0	2.82538
14926922235492898369	182.111	4.0599	5.05532	1563.71	3	205.68	198.092	0.73438	1.72824	97.6858	0	1.0263	759.993	4.81662	1.99683	1.20072	-0.764706	-0.971111	0	4.72385e-07
1598624697402173108	186.845	4.61875	5.17234	801.607	2	158.723	39.3408	1.24863	5.56531	49.1799	0	0.496962	532.175	1.94999	2.10215	0.79171	-0.70101	-0.899006	0	0.00014233
